name	pronunciation	names	persianName	englishName	numAyat	revelationPlace	index
العَلَق	al-‘Alaq	العلق	علق	The Clinging Mass	19	مَكيَّة	96
القَلَم	al-Qalam	القلم	قلم	The Pen	52	مَكيَّة	68
المُزَّمِّل	al-Muzzammil	المزمل	مزمل	Enwrapped	20	مَكيَّة	73
المُدَّثِّر	al-Muddaththir	المدثر	مدثر	Shrouded	56	مَكيَّة	74
الفَاتِحَة	al-Fātiḥah	الفاتحة|أم الكتاب|أم القرآن|السبع المثاني|الحمد|الشفاء	حمد	The Opening	7	مَكيَّة	1
المَسَد	al-Masad	المسد	مسد	Palm Fibre	5	مَكيَّة	111
التَّكوير	al-Takwīr	التكوير	تکویر	The Winding Up	29	مَكيَّة	81
الأَعْلى	al-A‘lā	الأعلى	اعلی	The Most Exalted	19	مَكيَّة	87
الليْل	al-Layl	الليل	اللیل	The Night	21	مَكيَّة	92
الفَجْر	al-Fajr	الفجر	فجر	The Dawn	30	مَكيَّة	89
الضُّحَى	al-Ḍuḥā	الضحى	الضحى	The Morning Brightness	11	مَكيَّة	93
الشَّرْح	al-Sharḥ	الشرح	انشراح	Opening	8	مَكيَّة	94
العَصْر	al-‘Aṣr	العصر	عصر	Time	3	مَكيَّة	103
العَادِيات	al-‘Ādiyāt	العاديات	عادیات	The Chargers	11	مَكيَّة	100
الكَوْثَر	al-Kawthar	الكوثر	کوثر	Abundance	3	مَكيَّة	108
التَّكَاثر	al-Takāthur	التكاثر	تکاثر	Rivalry	8	مَكيَّة	102
المَاعُون	al-Mā‘ūn	الماعون	ماعون	Aid	7	مَكيَّة	107
الكَافِرُون	al-Kāfirūn	الكافرون	کافرون	The Faithless	6	مَكيَّة	109
الفِيل	al-Fīl	الفيل	فیل	The Elephant	5	مَكيَّة	105
الفَلَق	al-Falaq	الفلق	فلق	The Daybreak	5	مَكيَّة	113
النَّاس	al-Nās	الناس	ناس	Humans	6	مَكيَّة	114
الإخْلَاص	al-Ikhlāṣ	الإخلاص	اخلاص	Monotheism	4	مَكيَّة	112
النَّجْم	al-Najm	النجم	نجم	The Star	62	مَكيَّة	53
عَبَس	‘Abasa	عبس	عبس	He frowned	42	مَكيَّة	80
القَدْر	al-Qadr	القدر	قدر	The Ordainment	5	مَكيَّة	97
الشَّمْس	al-Shams	الشمس	شمس	The Sun	15	مَكيَّة	91
البرُوج	al-Burūj	البروج	بروج	The Houses	22	مَكيَّة	85
التِّين	al-Tīn	التين	تین	The Fig	8	مَكيَّة	95
قُرَيْش	Quraysh	قريش	قریش	Quraysh	4	مَكيَّة	106
القَارِعة	al-Qāri‘ah	القارعة	قارعة	The Catastrophe	11	مَكيَّة	101
القِيَامَة	al-Qiyāmah	القيامة	قیامة	Resurrection	40	مَكيَّة	75
الهُمَزَة	al-Humazah	الهمزة	الهمزة	The Scandal-monger	9	مَكيَّة	104
المُرسَلات	al-Mursalāt	المرسلات	مرسلات	The Emissaries	50	مَكيَّة	77
ق	Qāf	ق	ق	Qaf	45	مَكيَّة	50
البَلَد	al-Balad	البلد	بلد	The City	20	مَكيَّة	90
الطَّارِق	al-Ṭāriq	الطارق	الطارق	The Nightly Visitor	17	مَكيَّة	86
القَمَر	al-Qamar	القمر	قمر	The Moon	55	مَكيَّة	54
ص	Ṣād	ص	ص	Sad	88	مَكيَّة	38
الأعرَاف	al-A‘rāf	الأعراف	اعراف	The Elevations	206	مَكيَّة	7
الجِن	al-Jinn	الجن	جن	The Jinn	28	مَكيَّة	72
يس	Yā Sīn	يس	یس	Ya Sin	83	مَكيَّة	36
الفُرْقان	al-Furqān	الفرقان	فرقان	The Criterion	77	مَكيَّة	25
فَاطِر	Fāṭir	فاطر	فاطر	The Originator	45	مَكيَّة	35
مَريَم	Maryam	مريم	مریم	Mary	98	مَكيَّة	19
طه	Ṭā Ḥā	طه	طه	Ta Ha	135	مَكيَّة	20
الوَاقِعَة	al-Wāqi‘ah	الواقعة	واقعه	The Imminent	96	مَكيَّة	56
الشُّعَرَاء	al-Shu‘arā’	الشعراء	شعراء	The Poets	227	مَكيَّة	26
النَّمْل	al-Naml	النمل	نمل	The Ants	93	مَكيَّة	27
القَصَص	al-Qaṣaṣ	القصص	قصص	The Story	88	مَكيَّة	28
الإسْرَاء	al-Isrā’	الإسراء|بَنِي إِسرائيل	اسراء	The Night Journey	111	مَكيَّة	17
يُونس	Yūnus	يونس	یونس	Jonah	109	مَكيَّة	10
